[2026-08-25T07:26:05.489Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_UnrealBloomPass__js.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_ShaderPass__js.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_OutputPass__js.js?v=8cf2488a → 200 (?ms, -309B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/textures.js?t=1787488962619 → 200 (4ms, ?B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/entity.js?t=1787489938677 → 200 (5ms, ?B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/field.js?t=1787488962613 → 200 (5ms, ?B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/settle.js?t=1787489778483 → 200 (4ms, ?B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/material.js?t=1787489938677 → 200 (5ms, ?B)
[2026-08-25T07:26:05.489Z] GET http://localhost:5177/src/bloom/motif.js → 200 (4ms, ?B)
[2026-08-25T07:26:05.490Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IT3TP6RZ.js?v=8cf2488a → 200 (?ms, -314B)
[2026-08-25T07:26:05.490Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-NY4Z4LNU.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:26:05.490Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-WYHAABFN.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:26:05.490Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IEZS3O2Z.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:26:36.072Z] GET http://localhost:5177/ → 200 (6ms, ?B)
[2026-08-25T07:27:15.549Z] GET http://localhost:5177/@vite/client → 200 (4ms, ?B)
[2026-08-25T07:27:15.550Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opsz,wght@0,6..72,200..400;1,6..72,200..300&display=swap → 200 (?ms, -743B)
[2026-08-25T07:27:15.550Z] GET http://localhost:5177/assets/bloom-still.svg → 304 (2ms, ?B)
[2026-08-25T07:27:15.550Z] GET http://localhost:5177/src/main.js?t=1787489938677 → 200 (3ms, ?B)
[2026-08-25T07:27:15.553Z] GET http://localhost:5177/src/styles/watl.css?t=1787489018152 → 200 (2ms, ?B)
